round,timestamp,hit_rate,miss_rate,latency_mean,latency_p95,latency_p99,hop_latency_mean,bandwidth_total_bytes,avg_cache_utilization,redundancy_mean
37,1763785501.941792,70.43690884621945,29.56309115378054,1.6439535318391771,5.1833470582962,11.66566604852676,3.3649790549121446,381564506,30.32279569892473,35.12945973496432
38,1763785505.052901,70.47310387625059,29.526896123749413,1.6425287638643726,5.1740976214408825,11.651252274513244,3.363593364512858,382098098,30.32279569892473,35.08853459972863
39,1763785508.119988,70.5115421803239,29.488457819676096,1.6410865753538797,5.165496528148651,11.643338978290585,3.3621698996857625,382473166,30.32279569892473,35.080677966101696
40,1763785512.713842,70.54560328123468,29.454396718765313,1.6400795062080125,5.157219088077536,11.636008815765381,3.36077371393243,383054952,30.32279569892473,35.075542005420054
1,1763785540.071158,70.81623033928877,29.18376966071124,1.6380367125938748,5.087330055236784,11.553517582416507,3.3574334003844926,389585520,60.866236559139786,35.13274635963427
2,1763785544.259721,70.81334037604367,29.186659623956334,1.6378777467424483,5.081725358963013,11.549797859191873,3.3577066711146943,390074313,60.866236559139786,35.122842639593905
3,1763785548.9484339,70.8181779478266,29.181822052173402,1.637609728350431,5.076445531845087,11.543577566146855,3.3577041187478827,390699601,60.866236559139786,35.11058505241799
4,1763785554.984818,70.8226420675121,29.17735793248789,1.6382466031199803,5.0724390506744355,11.53302936315536,3.3576773764188266,391213332,60.866236559139786,35.07801418439716
5,1763785558.746461,70.83429482860154,29.165705171398454,1.6377125538052757,5.067401647567749,11.528666234016413,3.357484248399918,391801430,60.866236559139786,35.05769230769231
6,1763785562.473442,70.84548481172736,29.15451518827264,1.6369762633098401,5.063812577724453,11.52200156450277,3.3571391702214735,392352756,60.866236559139786,35.0610455311973
7,1763785567.1253529,70.85332135585982,29.146678644140177,1.6362863267622436,5.058854436874388,11.514962270259753,3.356921961114936,392859375,60.866236559139786,35.05493764745534
8,1763785571.0881631,70.86958359910224,29.13041640089776,1.635798075790424,5.054984450340269,11.504487123489294,3.3564250513309277,393386861,60.866236559139786,35.04648029639609
9,1763785575.306921,70.88389646481798,29.116103535182024,1.6348904220662714,5.050782918930054,11.498040056228632,3.355970564318506,393870782,60.866236559139786,35.005716207128444
10,1763785578.810453,70.9013163441483,29.098683655851705,1.6340062863372264,5.04615341424942,11.49139244556425,3.3554789022034375,394431390,60.866236559139786,35.00941176470588
11,1763785583.008857,70.92375490005894,29.076245099941072,1.6336119610839053,5.040325915813444,11.483494946956647,3.3548209991544997,395038184,60.866236559139786,35.02050420168067
12,1763785586.554961,70.94527181361352,29.05472818638648,1.6328396257393543,5.034542870521546,11.471734218597414,3.354086797624486,395487320,60.866236559139786,35.01074907625126
13,1763785590.404156,70.96622932095555,29.033770679044444,1.6320819757438159,5.031484198570249,11.463363213539076,3.3534052572713056,396014879,60.866236559139786,35.02351360429963
14,1763785594.321771,70.98915112815514,29.010848871844853,1.6314073487326963,5.0278308391571045,11.454068765640098,3.352654830981682,396552615,60.866236559139786,35.02384150436534
15,1763785597.9647932,71.00990826622622,28.99009173377378,1.6306114283298694,5.023612570762634,11.436410632133427,3.3520317675713924,397092201,60.866236559139786,35.015436241610736
16,1763785601.451749,71.0320890968267,28.967910903173312,1.6297881682432074,5.01959652900695,11.422880575656801,3.3512818929443218,397618674,60.866236559139786,34.96450100468854
17,1763785605.344086,71.0557620817844,28.944237918215617,1.6288840876508466,5.01208369731903,11.40402556419373,3.3503835343186146,398171977,60.866236559139786,34.967191161700704
18,1763785610.26504,71.08065979067885,28.91934020932115,1.628567303938057,5.007491636276243,11.395320482253949,3.3495529159583386,398605673,60.866236559139786,34.961860153897625
19,1763785614.112163,71.10542726738669,28.894572732613312,1.6275651223434662,5.003697490692112,11.386427431106567,3.3487333363459713,399159153,60.866236559139786,34.951855566700104
20,1763785617.405277,71.12954628302901,28.870453716970985,1.6264423319955308,4.9990894198417655,11.380430881977082,3.347923065540104,399764980,60.866236559139786,34.9662320294216
21,1763785621.194022,71.15800739057818,28.84199260942182,1.6251939097108907,4.994555950164795,11.377431941032366,3.3470166531238794,400369942,60.866236559139786,34.984286191909064
22,1763785624.744847,71.18439797959448,28.815602020405517,1.6242157777692845,4.989976263046266,11.36896939992903,3.346010634470651,400915629,60.866236559139786,34.97427330437688
23,1763785628.012768,71.21034984977705,28.789650150222958,1.6230446851939493,4.986163854598996,11.365947284698485,3.3450907713001423,401348312,60.866236559139786,34.97095158597663
24,1763785631.2274911,71.23844221601065,28.761557783989346,1.6219148568610111,4.981687068939209,11.358083963394115,3.3440718899991215,401881171,60.866236559139786,34.97229639519359
25,1763785635.2379909,71.26765756671034,28.73234243328966,1.6213961081268027,4.978685736656189,11.349982430934977,3.342921937982831,402424642,60.866236559139786,34.98497997329773
26,1763785638.634774,71.29516123844276,28.704838761557237,1.6203900797395394,4.976283073425293,11.34230864048003,3.3419012662480387,402949980,60.866236559139786,34.991991991991995
27,1763785641.750352,71.32441222172072,28.675587778279276,1.6191780590175562,4.972928452491761,11.333517851829496,3.340915861941011,403414178,60.866236559139786,35.007007007007005
28,1763785645.566329,71.35224471768277,28.647755282317238,1.6182272059263003,4.971558630466461,11.324171578884133,3.3398991266188895,403992778,60.866236559139786,35.02168835502169
29,1763785648.7515662,71.38201639915516,28.61798360084485,1.6169642905448633,4.968613445758824,11.317800393104541,3.338842387478043,404491352,60.866236559139786,35.0263509006004
30,1763785651.75037,71.41117731523636,28.58882268476364,1.6157180058691853,4.965798044204711,11.309668569564842,3.337751083138537,404999772,60.866236559139786,35.017
31,1763785655.096592,71.44024084046092,28.559759159539087,1.6145503334504154,4.96215443611144,11.301938896179184,3.336611400230705,405558980,60.866236559139786,35.01165889407062
32,1763785658.614194,71.4723660492375,28.527633950762514,1.6135002716416182,4.959065914154053,11.292434930801392,3.335396540957826,405937222,60.866236559139786,35.02498334443704
33,1763785662.472505,71.50253851927067,28.49746148072933,1.6121734647000159,4.956023907661434,11.283216705322296,3.334210410136418,406457339,60.866236559139786,35.04163890739507
34,1763785665.562948,71.53266141188126,28.46733858811873,1.6109311502696715,4.9532413959503145,11.270887088775634,3.333130005694349,406945355,60.866236559139786,35.04761904761905
35,1763785669.8405051,71.56265399507215,28.437346004927843,1.6103618116720342,4.949858951568593,11.260294446945197,3.331941217881028,407250716,60.866236559139786,35.06460206460206
36,1763785675.1901288,71.59161385649807,28.408386143501936,1.6092956182790512,4.945437097549436,11.236486663818349,3.3308478733329,407780530,60.866236559139786,35.044910179640716
37,1763785678.430352,71.62217860819815,28.37782139180185,1.6081010417011175,4.939022874832156,11.2137944793701,3.3296255566488293,408266275,60.866236559139786,35.025257560651376
38,1763785681.575084,71.65357915101855,28.346420848981452,1.6068687455253055,4.9337156534194895,11.209247136116026,3.328443242202204,408813516,60.866236559139786,35.04353605849119
39,1763785685.1950479,71.68548358908036,28.314516410919644,1.6059580500241972,4.92598973512649,11.196964418888077,3.3271662763466043,409306523,60.866236559139786,35.060485211033566
